Gen	np	tree	tau_6T3T1T4T5T2	tau_7T3T1T4T5	col1	tau_8T1T4T5	lnL
100	1	1000	0.0000	0.0000	0.0000	0.000010	-29179.233
200	4	1111	0.000010	0.000007	0.000007	0.000003	-29187.238
300	1	1000	0.0000	0.0000	0.0000	0.000006	-29188.955
400	2	1100	0.000004	0.0000	0.0000	0.000000	-29180.335
500	1	1000	0.0000	0.0000	0.0000	0.000003	-29193.509
600	2	1100	0.000004	0.0000	0.0000	0.000003	-29186.024
700	2	1100	0.000007	0.0000	0.0000	0.000001	-29188.554
800	4	1111	0.000008	0.000004	0.000002	0.000000	-29193.497
900	3	1110	0.000008	0.000005	0.0000	0.000004	-29182.371
1000	4	1111	0.000007	0.000004	0.000004	0.000002	-29178.975
1100	3	1110	0.000011	0.000010	0.0000	0.000008	-29174.918
1200	4	1111	0.000028	0.000023	0.000023	0.000018	-29175.758
1300	4	1111	0.000043	0.000027	0.000022	0.000005	-29195.588
1400	4	1111	0.000041	0.000036	0.000032	0.000026	-29179.939
1500	4	1111	0.000066	0.000052	0.000052	0.000010	-29188.159
1600	4	1111	0.000121	0.000112	0.000073	0.000019	-29180.106
1700	3	1110	0.000112	0.000089	0.0000	0.000070	-29175.903
1800	4	1111	0.000176	0.000161	0.000113	0.000047	-29177.911
1900	4	1111	0.000121	0.000079	0.000056	0.000014	-29177.098
2000	4	1111	0.000156	0.000116	0.000069	0.000026	-29180.593
2100	4	1111	0.000147	0.000120	0.000092	0.000053	-29179.872
2200	4	1111	0.000190	0.000171	0.000145	0.000086	-29178.672
2300	4	1111	0.000092	0.000066	0.000053	0.000037	-29182.269
2400	4	1111	0.000219	0.000194	0.000173	0.000089	-29181.436
2500	4	1111	0.000197	0.000179	0.000176	0.000083	-29180.857
2600	4	1111	0.000148	0.000135	0.000133	0.000070	-29181.590
2700	4	1111	0.000116	0.000100	0.000094	0.000088	-29176.988
2800	4	1111	0.000212	0.000191	0.000169	0.000133	-29179.518
2900	4	1111	0.000285	0.000249	0.000231	0.000174	-29185.141
3000	4	1111	0.000189	0.000167	0.000160	0.000131	-29181.746
3100	4	1111	0.000199	0.000183	0.000179	0.000109	-29177.965
3200	4	1111	0.000184	0.000167	0.000156	0.000099	-29179.274
3300	4	1111	0.000143	0.000119	0.000094	0.000006	-29183.530
3400	4	1111	0.000198	0.000171	0.000146	0.000064	-29181.397
3500	4	1111	0.000175	0.000136	0.000113	0.000099	-29179.979
3600	4	1111	0.000215	0.000172	0.000146	0.000087	-29180.790
3700	4	1111	0.000181	0.000171	0.000151	0.000080	-29182.464
3800	4	1111	0.000109	0.000091	0.000082	0.000050	-29178.294
3900	4	1111	0.000193	0.000167	0.000149	0.000133	-29181.779
4000	4	1111	0.000314	0.000240	0.000190	0.000176	-29178.489
4100	4	1111	0.000200	0.000114	0.000082	0.000064	-29182.967
4200	4	1111	0.000180	0.000116	0.000092	0.000046	-29177.785
4300	4	1111	0.000146	0.000089	0.000083	0.000041	-29183.742
4400	4	1111	0.000212	0.000168	0.000125	0.000054	-29180.970
4500	4	1111	0.000098	0.000059	0.000057	0.000031	-29178.027
4600	4	1111	0.000227	0.000189	0.000171	0.000126	-29183.290
4700	4	1111	0.000222	0.000196	0.000179	0.000132	-29178.997
4800	4	1111	0.000220	0.000211	0.000197	0.000132	-29175.825
4900	4	1111	0.000327	0.000299	0.000258	0.000178	-29184.688
5000	4	1111	0.000163	0.000123	0.000110	0.000071	-29184.126
5100	4	1111	0.000166	0.000122	0.000106	0.000071	-29182.708
5200	4	1111	0.000213	0.000115	0.000112	0.000087	-29179.753
5300	4	1111	0.000219	0.000122	0.000113	0.000077	-29181.054
5400	4	1111	0.000123	0.000086	0.000076	0.000046	-29182.376
5500	4	1111	0.000141	0.000117	0.000104	0.000042	-29181.580
5600	4	1111	0.000249	0.000236	0.000223	0.000063	-29178.407
5700	4	1111	0.000141	0.000117	0.000114	0.000064	-29181.888
5800	4	1111	0.000187	0.000163	0.000155	0.000096	-29178.576
5900	4	1111	0.000182	0.000132	0.000128	0.000097	-29179.492
6000	4	1111	0.000116	0.000088	0.000077	0.000058	-29180.660
6100	4	1111	0.000144	0.000126	0.000084	0.000073	-29181.072
6200	4	1111	0.000215	0.000187	0.000165	0.000098	-29177.728
6300	4	1111	0.000151	0.000134	0.000113	0.000082	-29181.795
6400	4	1111	0.000206	0.000138	0.000125	0.000097	-29182.208
6500	4	1111	0.000203	0.000173	0.000148	0.000093	-29182.374
6600	4	1111	0.000248	0.000168	0.000165	0.000073	-29182.151
6700	4	1111	0.000204	0.000154	0.000144	0.000085	-29178.401
6800	4	1111	0.000170	0.000134	0.000120	0.000062	-29184.042
6900	4	1111	0.000177	0.000139	0.000124	0.000054	-29181.005
7000	4	1111	0.000168	0.000119	0.000102	0.000051	-29177.951
7100	4	1111	0.000208	0.000156	0.000139	0.000065	-29184.413
7200	4	1111	0.000157	0.000127	0.000111	0.000072	-29180.959
7300	4	1111	0.000154	0.000132	0.000129	0.000087	-29185.297
7400	4	1111	0.000192	0.000162	0.000145	0.000104	-29177.564
7500	4	1111	0.000167	0.000133	0.000115	0.000098	-29184.566
7600	4	1111	0.000158	0.000144	0.000132	0.000109	-29182.024
