Gen	np	tree	tau_6T3T1T4T5T2	tau_7T3T1T4T5	tau_8T1T4T5	tau_9T4T5	lnL
100	4	1111	0.000125	0.000105	0.000100	0.000061	-29182.853
200	4	1111	0.000156	0.000126	0.000125	0.000064	-29178.944
300	4	1111	0.000183	0.000165	0.000148	0.000087	-29176.481
400	4	1111	0.000160	0.000131	0.000123	0.000029	-29178.704
500	4	1111	0.000120	0.000097	0.000096	0.000066	-29184.899
600	4	1111	0.000103	0.000096	0.000090	0.000054	-29179.373
700	4	1111	0.000117	0.000107	0.000092	0.000063	-29178.990
800	4	1111	0.000146	0.000135	0.000133	0.000084	-29181.091
900	4	1111	0.000197	0.000178	0.000157	0.000026	-29179.782
1000	4	1111	0.000081	0.000068	0.000065	0.000040	-29185.681
1100	4	1111	0.000107	0.000095	0.000074	0.000010	-29178.191
1200	4	1111	0.000163	0.000146	0.000144	0.000061	-29183.430
1300	4	1111	0.000137	0.000109	0.000104	0.000070	-29179.851
1400	4	1111	0.000200	0.000179	0.000178	0.000045	-29175.572
1500	4	1111	0.000179	0.000132	0.000071	0.000011	-29179.619
1600	4	1111	0.000187	0.000173	0.000168	0.000030	-29181.290
1700	4	1111	0.000165	0.000141	0.000135	0.000063	-29183.054
1800	3	1110	0.000163	0.000128	0.000125	-29181.748
1900	4	1111	0.000097	0.000071	0.000065	0.000055	-29178.877
2000	4	1111	0.000114	0.000086	0.000083	0.000012	-29180.957
2100	4	1111	0.000107	0.000098	0.000078	0.000045	-29178.048
2200	4	1111	0.000097	0.000077	0.000076	0.000020	-29183.812
2300	3	1110	0.000216	0.000191	0.000128	-29179.350
2400	4	1111	0.000184	0.000174	0.000173	0.000075	-29181.080
2500	3	1110	0.000107	0.000103	0.000078	-29181.333
2600	4	1111	0.000126	0.000110	0.000109	0.000054	-29182.253
2700	3	1110	0.000105	0.000082	0.000055	-29182.195
2800	4	1111	0.000090	0.000081	0.000068	0.000047	-29185.727
2900	4	1111	0.000087	0.000077	0.000073	0.000026	-29182.509
3000	4	1111	0.000177	0.000168	0.000162	0.000114	-29177.706
3100	4	1111	0.000102	0.000082	0.000078	0.000004	-29179.498
3200	3	1110	0.000149	0.000117	0.000113	-29183.546
3300	4	1111	0.000156	0.000145	0.000128	0.000041	-29180.870
3400	4	1111	0.000210	0.000197	0.000196	0.000071	-29180.348
3500	4	1111	0.000108	0.000097	0.000096	0.000044	-29181.578
3600	4	1111	0.000190	0.000162	0.000110	0.000062	-29181.366
3700	4	1111	0.000266	0.000229	0.000221	0.000093	-29178.980
3800	4	1111	0.000137	0.000126	0.000115	0.000070	-29185.000
3900	4	1111	0.000179	0.000166	0.000134	0.000046	-29182.254
4000	4	1111	0.000162	0.000149	0.000144	0.000049	-29179.716
4100	3	1110	0.000220	0.000186	0.000179	-29180.889
4200	4	1111	0.000185	0.000156	0.000152	0.000057	-29179.252
4300	4	1111	0.000128	0.000098	0.000087	0.000002	-29181.073
4400	3	1110	0.000115	0.000098	0.000083	-29178.065
4500	4	1111	0.000145	0.000120	0.000108	0.000084	-29176.070
4600	4	1111	0.000199	0.000149	0.000142	0.000108	-29180.243
4700	4	1111	0.000217	0.000199	0.000160	0.000038	-29180.159
4800	4	1111	0.000263	0.000249	0.000164	0.000048	-29178.988
4900	4	1111	0.000342	0.000334	0.000318	0.000211	-29183.121
5000	3	1110	0.000140	0.000130	0.000083	-29180.557
5100	4	1111	0.000138	0.000130	0.000117	0.000078	-29180.526
5200	4	1111	0.000194	0.000156	0.000139	0.000105	-29183.520
5300	4	1111	0.000236	0.000220	0.000210	0.000100	-29184.460
5400	4	1111	0.000132	0.000114	0.000098	0.000041	-29179.209
5500	4	1111	0.000191	0.000171	0.000160	0.000083	-29180.923
5600	4	1111	0.000171	0.000130	0.000121	0.000090	-29185.802
